pullover_type,day_of_week,hour,adjusted_point,desired_point,curb_geo,polygon_type
Pickup,4,16,POINT(-122.426240775333 37.7763211770386),POINT(-122.426171733877 37.7765863900672),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,7,13,POINT(-122.42546040549 37.7765598237169),POINT(-122.425448480848 37.7764186022882),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,21,POINT(-122.425113207741 37.7766043103469),POINT(-122.42496501323 37.7765201956488),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,7,17,POINT(-122.42662140983 37.7764105622648),POINT(-122.426612423243 37.7764093280422),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Dropoff,7,18,POINT(-122.423001999489 37.7767477208701),POINT(-122.423604119858 37.7766909977582),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,14,POINT(-122.423864133169 37.7767650064983),POINT(-122.423874675403 37.7766820853588),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,2,10,POINT(-122.421148608457 37.7771766722894),POINT(-122.421904296135 37.7771332943632),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,7,19,POINT(-122.426284066636 37.776333305778),POINT(-122.426056290239 37.7765797337017),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,7,20,POINT(-122.424849741087 37.7766378002019),POINT(-122.424820793415 37.7765860725003),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,7,20,POINT(-122.425642817785 37.7765785973798),POINT(-122.425719204459 37.7766656771636),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,7,22,POINT(-122.426492832429 37.7764272114263),POINT(-122.426113925664 37.7766011177352),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Dropoff,7,22,POINT(-122.426492832429 37.7764272114263),POINT(-122.426113925664 37.7766011177352),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,2,19,POINT(-122.424387700723 37.7766938332243),POINT(-122.424380614993 37.7768528249401),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,1,21,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,6,19,POINT(-122.425113207741 37.7766043103469),POINT(-122.425002774767 37.7765249385779),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,5,17,POINT(-122.424387700723 37.7766938332243),POINT(-122.424386318141 37.7768832765925),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,20,POINT(-122.424446028354 37.7766867258339),POINT(-122.424366616356 37.7765991204396),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,3,19,POINT(-122.423001999489 37.7767477208701),POINT(-122.423408482964 37.7767098007088),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,20,POINT(-122.426457490898 37.7764721777419),POINT(-122.426056203829 37.7765426839641),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,3,20,POINT(-122.426457490898 37.7764721777419),POINT(-122.426056203829 37.7765426839641),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,4,21,POINT(-122.424849741087 37.7766378002019),POINT(-122.424901933287 37.7765393791548),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,7,11,POINT(-122.427724161957 37.7763092996801),POINT(-122.426245268643 37.776512301136),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,7,11,POINT(-122.427724161957 37.7763092996801),POINT(-122.426245268643 37.776512301136),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,17,POINT(-122.424726778234 37.7769542755059),POINT(-122.425407263052 37.7765191004289),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,15,POINT(-122.421163385249 37.7770887404333),POINT(-122.421353582256 37.7770972791424),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,1,1,POINT(-122.426284066636 37.776333305778),POINT(-122.425967374357 37.776496290022),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,4,17,POINT(-122.421163385249 37.7770887404333),POINT(-122.421611959282 37.7769669295391),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,5,12,POINT(-122.424655057037 37.7768302824437),POINT(-122.424798931436 37.7766980650616),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,4,13,POINT(-122.423864133169 37.7767650064983),POINT(-122.423876403638 37.7766004936682),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,7,20,POINT(-122.424655057037 37.7768302824437),POINT(-122.424394613629 37.7767566275648),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,14,POINT(-122.422733688425 37.7764490718287),POINT(-122.423109842197 37.7768355992614),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,23,POINT(-122.424146440012 37.7767715986847),POINT(-122.424342334765 37.7766896840743),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,23,POINT(-122.424655057037 37.7768302824437),POINT(-122.424423820652 37.7766311800958),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,7,21,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,3,22,POINT(-122.425942661086 37.7765363877665),POINT(-122.425997185813 37.7766136889311),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,7,0,POINT(-122.424287636355 37.7761765994006),POINT(-122.424397897259 37.7767514737712),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,6,15,POINT(-122.424740431179 37.7772583918071),POINT(-122.423866984757 37.7768337029218),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,17,POINT(-122.423864133169 37.7767650064983),POINT(-122.424029697972 37.7768991780854),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,3,20,POINT(-122.423425333329 37.7768612136313),POINT(-122.423176811772 37.7770403719393),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,22,POINT(-122.426240775333 37.7763211770386),POINT(-122.425901789124 37.7766276920083),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,14,POINT(-122.425642817785 37.7765785973798),POINT(-122.42568801036 37.7766906113128),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,3,20,POINT(-122.424387700723 37.7766938332243),POINT(-122.424380614993 37.7768528249401),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,16,POINT(-122.426284066636 37.776333305778),POINT(-122.42587923609 37.7765668010493),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,16,POINT(-122.424951792369 37.7766703146799),POINT(-122.424973481494 37.7767976280361),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,20,POINT(-122.424387700723 37.7766938332243),POINT(-122.424380614993 37.7768528249401),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,7,18,POINT(-122.422805238109 37.7773888149194),POINT(-122.422322017555 37.7770461947908),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,2,18,POINT(-122.424463224198 37.7766844176431),POINT(-122.424121639901 37.7767780630874),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,14,POINT(-122.426284066636 37.776333305778),POINT(-122.426852122917 37.7764184744207),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Dropoff,1,19,POINT(-122.426284066636 37.776333305778),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,4,10,POINT(-122.424726778234 37.7769542755059),POINT(-122.424799709135 37.7767751050329),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,3,17,POINT(-122.424387700723 37.7766938332243),POINT(-122.424380614993 37.7768528249401),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,22,POINT(-122.426682242094 37.7764031190333),POINT(-122.426669971953 37.7763858106623),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,7,16,POINT(-122.424655057037 37.7768302824437),POINT(-122.423569382238 37.7768757973066),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,6,6,POINT(-122.423209475626 37.776820223827),POINT(-122.4231336056 37.7765720959656),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,2,18,POINT(-122.424387700723 37.7766938332243),POINT(-122.424380614993 37.7768528249401),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,19,POINT(-122.425922268312 37.7765392434072),POINT(-122.426088866788 37.7766903932649),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,6,12,POINT(-122.424995429847 37.7766645263962),POINT(-122.424799709135 37.7767751050329),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,1,19,POINT(-122.426284066636 37.776333305778),POINT(-122.426241120973 37.7763775576747),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,7,13,POINT(-122.425860917147 37.7765480088597),POINT(-122.425889432481 37.7766751845954),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,12,POINT(-122.423330798425 37.7768281299506),POINT(-122.423141037062 37.7770334177081),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,19,POINT(-122.423001999489 37.7767477208701),POINT(-122.423206883257 37.7765015045614),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,17,POINT(-122.423864133169 37.7767650064983),POINT(-122.424029697972 37.7768991780854),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,2,19,POINT(-122.425860917147 37.7765480088597),POINT(-122.425889432481 37.7766751845954),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,5,17,POINT(-122.42332198438 37.7768290232458),POINT(-122.423255533372 37.7770072188445),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,23,POINT(-122.424146440012 37.7767715986847),POINT(-122.424404032463 37.7768390068904),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,7,19,POINT(-122.422889922455 37.7773778190985),POINT(-122.422814397848 37.776811887749),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,5,1,POINT(-122.424387700723 37.7766938332243),POINT(-122.424380614993 37.7768528249401),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,18,POINT(-122.423209475626 37.776820223827),POINT(-122.423115631827 37.7766283684876),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,6,11,POINT(-122.425113207741 37.7766043103469),POINT(-122.425002774767 37.7765249385779),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,18,POINT(-122.423137580568 37.776391521998),POINT(-122.4233937929 37.7768760757123),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,1,11,POINT(-122.425135069654 37.7766015119388),POINT(-122.425094024557 37.7764978903963),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,7,20,POINT(-122.424655057037 37.7768302824437),POINT(-122.42383639499 37.7767009834231),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,21,POINT(-122.424849741087 37.7766378002019),POINT(-122.424737579614 37.7763838266664),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,7,15,POINT(-122.423001999489 37.7767477208701),POINT(-122.423176811772 37.7770403719393),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,3,15,POINT(-122.424951792369 37.7766703146799),POINT(-122.424955508036 37.7768248204747),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,4,15,POINT(-122.42750865873 37.7763377860909),POINT(-122.427519719051 37.7763593193746),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
